region_id,region_key,region_name,postcode,suburb,suburb_key,source_suburbs
1,cbd_inner_city,CBD / Inner City,2000,SYDNEY,sydney,Haymarket | Sydney
1,cbd_inner_city,CBD / Inner City,2000,HAYMARKET,haymarket,Haymarket | Sydney
1,cbd_inner_city,CBD / Inner City,2000,MILLERS POINT,millers_point,Haymarket | Sydney
1,cbd_inner_city,CBD / Inner City,2000,BARANGAROO,barangaroo,Haymarket | Sydney
1,cbd_inner_city,CBD / Inner City,2000,THE ROCKS,the_rocks,Haymarket | Sydney
1,cbd_inner_city,CBD / Inner City,2000,DAWES POINT,dawes_point,Haymarket | Sydney
1,cbd_inner_city,CBD / Inner City,2007,ULTIMO,ultimo,Ultimo
1,cbd_inner_city,CBD / Inner City,2008,CHIPPENDALE,chippendale,Chippendale
1,cbd_inner_city,CBD / Inner City,2008,DARLINGTON,darlington,Chippendale
1,cbd_inner_city,CBD / Inner City,2009,PYRMONT,pyrmont,Pyrmont
1,cbd_inner_city,CBD / Inner City,2010,SURRY HILLS,surry_hills,Darlinghurst | Surry Hills
1,cbd_inner_city,CBD / Inner City,2010,DARLINGHURST,darlinghurst,Darlinghurst | Surry Hills
1,cbd_inner_city,CBD / Inner City,2011,POTTS POINT,potts_point,Potts Point | Woolloomooloo
1,cbd_inner_city,CBD / Inner City,2011,ELIZABETH BAY,elizabeth_bay,Potts Point | Woolloomooloo
1,cbd_inner_city,CBD / Inner City,2011,WOOLLOOMOOLOO,woolloomooloo,Potts Point | Woolloomooloo
1,cbd_inner_city,CBD / Inner City,2011,RUSHCUTTERS BAY,rushcutters_bay,Potts Point | Woolloomooloo
2,inner_south,Inner South,2015,ALEXANDRIA,alexandria,Alexandria
2,inner_south,Inner South,2015,BEACONSFIELD,beaconsfield,Alexandria
2,inner_south,Inner South,2015,EVELEIGH,eveleigh,Alexandria
2,inner_south,Inner South,2016,REDFERN,redfern,Redfern
2,inner_south,Inner South,2017,ZETLAND,zetland,Zetland
2,inner_south,Inner South,2017,WATERLOO,waterloo,Zetland
2,inner_south,Inner South,2018,ROSEBERY,rosebery,Rosebery
2,inner_south,Inner South,2018,EASTLAKES,eastlakes,Rosebery
2,inner_south,Inner South,2020,MASCOT,mascot,Mascot
3,eastern_suburbs,Eastern Suburbs,2023,BELLEVUE HILL,bellevue_hill,Bellevue Hill
3,eastern_suburbs,Eastern Suburbs,2025,WOOLLAHRA,woollahra,Woollahra
3,eastern_suburbs,Eastern Suburbs,2026,BONDI BEACH,bondi_beach,Bondi
3,eastern_suburbs,Eastern Suburbs,2026,BONDI,bondi,Bondi
3,eastern_suburbs,Eastern Suburbs,2026,NORTH BONDI,north_bondi,Bondi
3,eastern_suburbs,Eastern Suburbs,2026,TAMARAMA,tamarama,Bondi
3,eastern_suburbs,Eastern Suburbs,2028,DOUBLE BAY,double_bay,Double Bay
3,eastern_suburbs,Eastern Suburbs,2029,ROSE BAY,rose_bay,Rose Bay
3,eastern_suburbs,Eastern Suburbs,2030,VAUCLUSE,vaucluse,Vaucluse
3,eastern_suburbs,Eastern Suburbs,2030,DOVER HEIGHTS,dover_heights,Vaucluse
3,eastern_suburbs,Eastern Suburbs,2030,WATSONS BAY,watsons_bay,Vaucluse
