suburb,postcode,primary_postcode_sales_rows,suburb_total_sales_rows,primary_postcode_share
PORT MACQUARIE,2444,182,182,1.0
ORANGE,2800,172,172,1.0
PARRAMATTA,2150,125,125,1.0
BLACKTOWN,2148,119,119,1.0
DUBBO,2830,114,114,1.0
LIVERPOOL,2170,106,106,1.0
COFFS HARBOUR,2450,105,105,1.0
GOULBURN,2580,105,105,1.0
CASTLE HILL,2154,103,103,1.0
RYDE,2112,103,103,1.0
ARMIDALE,2350,100,100,1.0
CRONULLA,2230,94,94,1.0
BAULKHAM HILLS,2153,89,89,1.0
MOSMAN,2088,87,87,1.0
MACQUARIE PARK,2113,86,86,1.0
BROKEN HILL,2880,85,85,1.0
BOX HILL,2765,84,84,1.0
PENRITH,2750,80,80,1.0
CARLINGFORD,2118,79,79,1.0
EPPING,2121,79,79,1.0
HURSTVILLE,2220,77,77,1.0
CARINGBAH,2229,76,76,1.0
WOLLONGONG,2500,76,76,1.0
MAROUBRA,2035,74,74,1.0
MASCOT,2020,72,72,1.0
SYDNEY,2000,72,72,1.0
MARSDEN PARK,2765,71,71,1.0
MERRYLANDS,2160,70,70,1.0
ROUSE HILL,2155,70,70,1.0
CAMPBELLTOWN,2560,69,69,1.0
MANLY,2095,69,69,1.0
RANDWICK,2031,69,69,1.0
WILLOUGHBY,2068,69,69,1.0
AUSTRAL,2179,68,68,1.0
LIDCOMBE,2141,68,68,1.0
BANKSTOWN,2200,67,67,1.0
SCHOFIELDS,2762,67,67,1.0
DEE WHY,2099,65,65,1.0
QUAKERS HILL,2763,65,65,1.0
MUSWELLBROOK,2333,64,64,1.0
AUBURN,2144,63,63,1.0
STRATHFIELD,2135,61,61,1.0
ASHFIELD,2131,60,60,1.0
MIRANDA,2228,60,60,1.0
SURRY HILLS,2010,60,60,1.0
INVERELL,2360,58,58,1.0
ST IVES,2075,58,58,1.0
FORSTER,2428,57,57,1.0
LAVINGTON,2641,57,57,1.0
MUDGEE,2850,57,57,1.0
WAHROONGA,2076,57,57,1.0
ORAN PARK,2570,56,56,1.0
WENTWORTH POINT,2127,56,56,1.0
CAMPSIE,2194,55,55,1.0
CHATSWOOD,2067,55,55,1.0
TAREE,2430,55,55,1.0
COOGEE,2034,54,54,1.0
GRIFFITH,2680,54,54,1.0
ROCKDALE,2216,54,54,1.0
BOWRAL,2576,53,53,1.0
CARINGBAH SOUTH,2229,53,53,1.0
ZETLAND,2017,53,53,1.0
ERSKINEVILLE,2043,52,52,1.0
NORTH KELLYVILLE,2155,52,52,1.0
TWEED HEADS,2485,52,52,1.0
ALEXANDRIA,2015,51,51,1.0
KELLYVILLE,2155,51,51,1.0
WENTWORTHVILLE,2145,51,51,1.0
CABRAMATTA,2166,50,50,1.0
GUILDFORD,2161,50,50,1.0
ROSEBERY,2018,50,50,1.0
WALLSEND,2287,50,50,1.0
EASTWOOD,2122,48,48,1.0
GREYSTANES,2145,48,48,1.0
POTTS POINT,2011,48,48,1.0
WATERLOO,2017,48,48,1.0
BURWOOD,2134,47,47,1.0
NORTH SYDNEY,2060,47,47,1.0
TOONGABBIE,2146,46,46,1.0
GLENMORE PARK,2745,45,45,1.0
LANE COVE,2066,45,45,1.0
TERRIGAL,2260,45,45,1.0
UMINA BEACH,2257,45,45,1.0
BANORA POINT,2486,44,44,1.0
CHARLESTOWN,2290,44,44,1.0
GOSFORD,2250,44,44,1.0
INGLEBURN,2565,44,44,1.0
KIRRAWEE,2232,44,44,1.0
RHODES,2138,44,44,1.0
DARLINGHURST,2010,43,43,1.0
EASTGARDENS,2036,43,43,1.0
MOAMA,2731,43,43,1.0
BONDI BEACH,2026,42,42,1.0
CESSNOCK,2325,42,42,1.0
CREMORNE,2090,42,42,1.0
MARRICKVILLE,2204,42,42,1.0
MELONBA,2765,42,42,1.0
ST MARYS,2760,42,42,1.0
SUTHERLAND,2232,42,42,1.0
LEICHHARDT,2040,41,41,1.0
ROSEVILLE,2069,41,41,1.0
RUTHERFORD,2320,41,41,1.0
ST LEONARDS,2065,41,41,1.0
NEWTOWN,2042,40,40,1.0
SYLVANIA,2224,40,40,1.0
BERKELEY VALE,2261,39,39,1.0
HORNSBY,2077,39,39,1.0
LINDFIELD,2070,39,39,1.0
SANCTUARY POINT,2540,39,39,1.0
WEST PENNANT HILLS,2125,39,39,1.0
WESTMEAD,2145,39,39,1.0
KINGSCLIFF,2487,38,38,1.0
MOSS VALE,2577,38,38,1.0
PADDINGTON,2021,38,38,1.0
PUNCHBOWL,2196,38,38,1.0
BELLEVUE HILL,2023,37,37,1.0
DOUBLE BAY,2028,37,37,1.0
FAIRFIELD,2165,37,37,1.0
GRANVILLE,2142,37,37,1.0
NELSON BAY,2315,37,37,1.0
SEVEN HILLS,2147,37,37,1.0
TAHMOOR,2573,37,37,1.0
VAUCLUSE,2030,37,37,1.0
