A;003;20020102 13:56;PTHIRLWELL;
B;003;25315;1;20020102 13:56;;;35;ADAM ST;NARARA;2250;600.7;M;20011005;20011115;255000;A;R;RESIDENCE;;GK;AC;;8177498;
C;003;25315;1;20020102 13:56;4//240638;
D;003;25315;1;20020102 13:56;P;;;;;;
D;003;25315;1;20020102 13:56;P;;;;;;
D;003;25315;1;20020102 13:56;V;;;;;;
D;003;25315;1;20020102 13:56;V;;;;;;
B;003;25639;2;20020102 13:56;;;22;ALAN ST;NIAGARA PARK;2250;612;M;20011109;20011214;218000;A;R;RESIDENCE;;GK;;;8213503;
C;003;25639;2;20020102 13:56;7//264500;
D;003;25639;2;20020102 13:56;P;;;;;;
D;003;25639;2;20020102 13:56;P;;;;;;
D;003;25639;2;20020102 13:56;V;;;;;;
D;003;25639;2;20020102 13:56;V;;;;;;
B;003;25931;3;20020102 13:56;;11;197;ALBANY ST;POINT FREDERICK;2250;;;20010928;20011109;193500;;R;RESIDENCE;11;;XA;;8157436;
C;003;25931;3;20020102 13:56;11//17708;
D;003;25931;3;20020102 13:56;P;;;;;;
D;003;25931;3;20020102 13:56;V;;;;;;
B;003;25950;4;20020102 13:56;;;189;ALBANY ST;POINT FREDERICK;2250;720.8;M;20011122;20011129;390000;A;R;RESIDENCE;;MD;AC;;8184121;
C;003;25950;4;20020102 13:56;2//17624;
D;003;25950;4;20020102 13:56;P;;;;;;
D;003;25950;4;20020102 13:56;V;;;;;;
B;003;25951;5;20020102 13:56;;;187;ALBANY ST;POINT FREDERICK;2250;720.8;M;20010823;20011210;450000;A;R;RESIDENCE;;MD;;;8198229;
C;003;25951;5;20020102 13:56;1//17624;
D;003;25951;5;20020102 13:56;P;;;;;;
D;003;25951;5;20020102 13:56;V;;;;;;
D;003;25951;5;20020102 13:56;V;;;;;;
B;003;26004;6;20020102 13:56;;;119 A;ALBANY ST;POINT FREDERICK;2250;1286;M;20011113;20011206;880000;A;R;RESIDENCE;;WH;;;8202503;
C;003;26004;6;20020102 13:56;14//771438;
D;003;26004;6;20020102 13:56;P;;;;;;
