A;004;20020617 11:49;PDANN;
B;004;96069;1;20020617 11:49;;;69;ARCADIA ST;ARCADIA VALE;2283;613.4;M;20020412;20020524;270000;A;R;RESIDENCE;;ME;;;8658823;
C;004;96069;1;20020617 11:49;452//13129;
D;004;96069;1;20020617 11:49;P;;;;;;
D;004;96069;1;20020617 11:49;P;;;;;;
D;004;96069;1;20020617 11:49;V;;;;;;
D;004;96069;1;20020617 11:49;V;;;;;;
B;004;96835;2;20020617 11:49;;;50;ROBERT ST;ARGENTON;2284;;;20020402;20020515;136000;A;R;RESIDENCE;;CB;;;8645861;
C;004;96835;2;20020617 11:49;7/E/18577;
D;004;96835;2;20020617 11:49;P;;;;;;
D;004;96835;2;20020617 11:49;V;;;;;;
B;004;97429;3;20020617 11:49;;;22;KENNEDY CL;COORANBONG;2265;569.4;M;20020411;20020509;235000;A;R;RESIDENCE;;NJ;;;8640844;
C;004;97429;3;20020617 11:49;4//865588;
D;004;97429;3;20020617 11:49;P;;;;;;
D;004;97429;3;20020617 11:49;P;;;;;;
D;004;97429;3;20020617 11:49;V;;;;;;
D;004;97429;3;20020617 11:49;V;;;;;;
B;004;98404;4;20020617 11:49;;;10;BARRALONG ST;BELMONT NORTH;2280;700.2;M;20020405;20020510;475000;A;R;RESIDENCE;;JQ;;;8658327;
C;004;98404;4;20020617 11:49;5//259540;
D;004;98404;4;20020617 11:49;P;;;;;;
D;004;98404;4;20020617 11:49;P;;;;;;
D;004;98404;4;20020617 11:49;P;;;;;;
D;004;98404;4;20020617 11:49;V;;;;;;
B;004;98836;5;20020617 11:49;;;1;BARRALONG ST;BELMONT NORTH;2280;646.2;M;20020419;20020522;352000;A;R;RESIDENCE;;JQ;;;8648089;
C;004;98836;5;20020617 11:49;10//259540;
D;004;98836;5;20020617 11:49;P;;;;;;
D;004;98836;5;20020617 11:49;P;;;;;;
D;004;98836;5;20020617 11:49;V;;;;;;
B;004;99856;6;20020617 11:49;;;6;FLORAVILLE RD;BELMONT NORTH;2280;;;20020430;20020531;174060;A;R;RESIDENCE;;JE;;;8671733;
C;004;99856;6;20020617 11:49;6//22373;
D;004;99856;6;20020617 11:49;P;;;;;;
