A;007;20020201 11:28;CDIXON;
B;007;195163;1;20020201 11:28;;;;;MUSWELLBROOK;2333;40.04;H;20011211;20011219;327500;P;R;RESIDENCE;;PK;RG;;8293920;
C;007;195163;1;20020201 11:28;161//597534;
D;007;195163;1;20020201 11:28;P;;;;;;
D;007;195163;1;20020201 11:28;V;;;;;;
D;007;195163;1;20020201 11:28;V;;;;;;
B;007;195282;2;20020201 11:28;;;;;MUSWELLBROOK;2333;4166;M;20011009;20011130;192500;P;R;RESIDENCE;;PT;RR;;8214246;
C;007;195282;2;20020201 11:28;101//819359;
D;007;195282;2;20020201 11:28;P;;;;;;
D;007;195282;2;20020201 11:28;V;;;;;;
D;007;195282;2;20020201 11:28;V;;;;;;
B;007;195611;3;20020201 11:28;;;40;CRINOLINE ST;DENMAN;2328;735.6;M;20011130;20011219;70000;A;R;RESIDENCE;;DG;AC;;8229696;
C;007;195611;3;20020201 11:28;143//615146;
D;007;195611;3;20020201 11:28;P;;;;;;
D;007;195611;3;20020201 11:28;P;;;;;;
D;007;195611;3;20020201 11:28;V;;;;;;
B;007;195623;4;20020201 11:28;;;16;CRINOLINE ST;DENMAN;2328;1214;M;20011123;20011219;78500;A;R;RESIDENCE;;DG;AC;;8277438;
C;007;195623;4;20020201 11:28;26//250264;
D;007;195623;4;20020201 11:28;P;;;;;;
D;007;195623;4;20020201 11:28;V;;;;;;
B;007;195652;5;20020201 11:28;;;;GREY GUM RD;DENMAN;2328;1.049;H;20011115;20011220;60000;R;V;VACANT LAND;;RP;RV;;8261269;
C;007;195652;5;20020201 11:28;6//876528;
D;007;195652;5;20020201 11:28;P;;;;;;
D;007;195652;5;20020201 11:28;P;;;;;;
D;007;195652;5;20020201 11:28;V;;;;;;
D;007;195652;5;20020201 11:28;V;;;;;;
B;007;195676;6;20020201 11:28;;;2;GRIMES CL;DENMAN;2328;1195;M;20011008;20011121;180000;A;R;RESIDENCE;;DF;AC;;8274119;
C;007;195676;6;20020201 11:28;29//45633;
D;007;195676;6;20020201 11:28;P;;;;;;
D;007;195676;6;20020201 11:28;P;;;;;;
D;007;195676;6;20020201 11:28;V;;;;;;
D;007;195676;6;20020201 11:28;V;;;;;;
B;007;195972;7;20020201 11:28;;;37;PAXTON ST;DENMAN;2328;752.5;M;20011015;20011127;90000;A;R;RESIDENCE;;DG;AC;;8168346;
C;007;195972;7;20020201 11:28;A//36584;
D;007;195972;7;20020201 11:28;P;;;;;;
D;007;195972;7;20020201 11:28;V;;;;;;
D;007;195972;7;20020201 11:28;V;;;;;;
B;007;196040;8;20020201 11:28;;;5;ROSEMOUNT RD;DENMAN;2328;800;M;20011128;20011220;145000;A;R;RESIDENCE;;DF;AC;;8258884;
C;007;196040;8;20020201 11:28;7//45633;
D;007;196040;8;20020201 11:28;P;;;;;;
D;007;196040;8;20020201 11:28;P;;;;;;
D;007;196040;8;20020201 11:28;V;;;;;;
D;007;196040;8;20020201 11:28;V;;;;;;
B;007;196079;9;20020201 11:28;;;20;TURTLE ST;DENMAN;2328;1721;M;20011023;20011206;112500;A;R;RESIDENCE;;DG;AC;;8238247;
C;007;196079;9;20020201 11:28;132//560737;
D;007;196079;9;20020201 11:28;P;;;;;;
D;007;196079;9;20020201 11:28;V;;;;;;
D;007;196079;9;20020201 11:28;V;;;;;;
B;007;196086;10;20020201 11:28;;;8;TURTLE ST;DENMAN;2328;2023;M;20011022;20011121;167000;A;R;RESIDENCE;;DG;AC;;8255443;
C;007;196086;10;20020201 11:28;2/14/758351;
D;007;196086;10;20020201 11:28;P;;;;;;
D;007;196086;10;20020201 11:28;P;;;;;;
D;007;196086;10;20020201 11:28;V;;;;;;
B;007;196096;11;20020201 11:28;;;23;VIRGINIA ST;DENMAN;2328;1821;M;20011116;20011219;115000;A;R;RESIDENCE;;DG;AC;;8277677;
C;007;196096;11;20020201 11:28;13//549318;
D;007;196096;11;20020201 11:28;P;;;;;;
D;007;196096;11;20020201 11:28;P;;;;;;
D;007;196096;11;20020201 11:28;V;;;;;;
B;007;196115;12;20020201 11:28;;;63;VIRGINIA ST;DENMAN;2328;1533;M;20011022;20011105;120000;A;R;RESIDENCE;;DG;AC;;8247607;
C;007;196115;12;20020201 11:28;231//601188;
D;007;196115;12;20020201 11:28;P;;;;;;
D;007;196115;12;20020201 11:28;P;;;;;;
D;007;196115;12;20020201 11:28;V;;;;;;
D;007;196115;12;20020201 11:28;V;;;;;;
B;007;196185;13;20020201 11:28;;;;;MUSWELLBROOK;2333;30.71;H;20011011;20011206;745000;P;R;RESIDENCE;;RD;RG;;8227922;
C;007;196185;13;20020201 11:28;2//655750 1, 2//780673;
D;007;196185;13;20020201 11:28;P;;;;;;
D;007;196185;13;20020201 11:28;V;;;;;;
B;007;196259;14;20020201 11:28;;;;;MUSWELLBROOK;2333;98.13;H;20010924;20011205;600000;R;V;VACANT LAND;;RJ;RV;;8191320;
C;007;196259;14;20020201 11:28;269, 270//750926 Crown Lease 13/7 Crown Lease 13/8 LEASE OVER PROPERTY;
C;007;196259;14;20020201 11:28; LEASE OVER PROPERTY;
D;007;196259;14;20020201 11:28;P;;;;;;
D;007;196259;14;20020201 11:28;V;;;;;;
B;007;196380;15;20020201 11:28;;;;;MUSWELLBROOK;2333;4.92;H;20011029;20011204;240000;R;R;RESIDENCE;;RP;AC;;8250809;
C;007;196380;15;20020201 11:28;PT 25//253978;
D;007;196380;15;20020201 11:28;P;;;;;;
D;007;196380;15;20020201 11:28;V;;;;;;
B;007;196993;16;20020201 11:28;;;;;MUSWELLBROOK;2333;13.89;H;20010919;20011220;160000;P;R;RESIDENCE;;PL;;;8295240;
C;007;196993;16;20020201 11:28;62//833005;
D;007;196993;16;20020201 11:28;P;;;;;;
D;007;196993;16;20020201 11:28;P;;;;;;
D;007;196993;16;20020201 11:28;V;;;;;;
B;007;197082;17;20020201 11:28;;;20;ACACIA DR;MUSWELLBROOK;2333;736.5;M;20011119;20011217;153000;A;R;RESIDENCE;;AL;AC;;8256965;
C;007;197082;17;20020201 11:28;11//258257;
D;007;197082;17;20020201 11:28;P;;;;;;
D;007;197082;17;20020201 11:28;V;;;;;;
B;007;197083;18;20020201 11:28;;;22;ACACIA DR;MUSWELLBROOK;2333;787.9;M;20011218;20020118;134000;A;R;RESIDENCE;;AL;;;8310094;
C;007;197083;18;20020201 11:28;12//258257;
D;007;197083;18;20020201 11:28;P;;;;;;
D;007;197083;18;20020201 11:28;P;;;;;;
D;007;197083;18;20020201 11:28;V;;;;;;
B;007;197084;19;20020201 11:28;;;24;ACACIA DR;MUSWELLBROOK;2333;850.8;M;20011102;20011219;170000;A;R;RESIDENCE;;AL;AC;;8238129;
C;007;197084;19;20020201 11:28;13//258257;
D;007;197084;19;20020201 11:28;P;;;;;;
D;007;197084;19;20020201 11:28;P;;;;;;
D;007;197084;19;20020201 11:28;V;;;;;;
D;007;197084;19;20020201 11:28;V;;;;;;
B;007;197146;20;20020201 11:28;;;37;ACACIA DR;MUSWELLBROOK;2333;749.3;M;20011130;20011221;135000;A;R;RESIDENCE;;AL;AC;;8273523;
C;007;197146;20;20020201 11:28;44//258257;
D;007;197146;20;20020201 11:28;P;;;;;;
D;007;197146;20;20020201 11:28;P;;;;;;
D;007;197146;20;20020201 11:28;V;;;;;;
B;007;197150;21;20020201 11:28;;;29;ACACIA DR;MUSWELLBROOK;2333;774.3;M;20011024;20011130;133000;A;R;RESIDENCE;;AL;AC;;8227462;
C;007;197150;21;20020201 11:28;40//258257;
D;007;197150;21;20020201 11:28;P;;;;;;
D;007;197150;21;20020201 11:28;V;;;;;;
D;007;197150;21;20020201 11:28;V;;;;;;
B;007;197559;22;20020201 11:28;;;51;BRECHT ST;MUSWELLBROOK;2333;733.5;M;20011113;20011130;116000;A;R;RESIDENCE;;AT;AC;;8222891;
C;007;197559;22;20020201 11:28;4//21470;
D;007;197559;22;20020201 11:28;P;;;;;;
D;007;197559;22;20020201 11:28;P;;;;;;
D;007;197559;22;20020201 11:28;V;;;;;;
B;007;197587;23;20020201 11:28;;;42;BRENTWOOD ST;MUSWELLBROOK;2333;1157;M;20011109;20011214;147000;A;R;RESIDENCE;;AT;AC;;8228057;
C;007;197587;23;20020201 11:28;1/1/15467 1//436062 1//506828;
D;007;197587;23;20020201 11:28;P;;;;;;
D;007;197587;23;20020201 11:28;P;;;;;;
D;007;197587;23;20020201 11:28;V;;;;;;
B;007;197606;24;20020201 11:28;;;45;BRENTWOOD ST;MUSWELLBROOK;2333;531.1;M;20011121;20011207;83000;A;R;RESIDENCE;;AT;AC;;8219708;
C;007;197606;24;20020201 11:28;204//752484;
D;007;197606;24;20020201 11:28;P;;;;;;
D;007;197606;24;20020201 11:28;V;;;;;;
D;007;197606;24;20020201 11:28;V;;;;;;
B;007;198093;25;20020201 11:28;;;4;CHARDANRAY ST;MUSWELLBROOK;2333;864.5;M;20011026;20011127;115000;A;R;RESIDENCE;;AW;AC;;8258844;
C;007;198093;25;20020201 11:28;86//261832;
D;007;198093;25;20020201 11:28;P;;;;;;
D;007;198093;25;20020201 11:28;V;;;;;;
B;007;198377;26;20020201 11:28;;;3;DALWOOD PL;MUSWELLBROOK;2333;706;M;20011220;20020118;88000;A;R;RESIDENCE;;AH;;;8310890;
C;007;198377;26;20020201 11:28;25//261812;
D;007;198377;26;20020201 11:28;P;;;;;;
D;007;198377;26;20020201 11:28;V;;;;;;
B;007;198537;27;20020201 11:28;;;8;FLEMING ST;MUSWELLBROOK;2333;1037;M;20011024;20011204;72500;A;R;RESIDENCE;;AF;AC;;8235183;
C;007;198537;27;20020201 11:28;19/2/12251;
D;007;198537;27;20020201 11:28;P;;;;;;
D;007;198537;27;20020201 11:28;P;;;;;;
D;007;198537;27;20020201 11:28;V;;;;;;
B;007;198556;28;20020201 11:28;;;30;FOLEY ST;MUSWELLBROOK;2333;739.8;M;20010905;20010928;70000;A;R;RESIDENCE;;AT;AC;;7994160;
C;007;198556;28;20020201 11:28;B//382812;
D;007;198556;28;20020201 11:28;P;;;;;;
D;007;198556;28;20020201 11:28;P;;;;;;
D;007;198556;28;20020201 11:28;V;;;;;;
B;007;198649;29;20020201 11:28;;1;63;FORD ST;MUSWELLBROOK;2333;;;20011120;20020116;74000;;3;UNIT;1;;;;8307563;
C;007;198649;29;20020201 11:28;1//16867;
D;007;198649;29;20020201 11:28;P;;;;;;
D;007;198649;29;20020201 11:28;V;;;;;;
B;007;198865;30;20020201 11:28;;;93 A;HILL ST;MUSWELLBROOK;2333;502.3;M;20011203;20011219;125000;B;R;RESIDENCE;;BB;AC;;8247452;
C;007;198865;30;20020201 11:28;1//742352;
D;007;198865;30;20020201 11:28;P;;;;;;
D;007;198865;30;20020201 11:28;V;;;;;;
B;007;198884;31;20020201 11:28;;;147;HILL ST;MUSWELLBROOK;2333;;;20010921;20011012;106000;A;R;RESIDENCE;;AT;AC;;8030442;
C;007;198884;31;20020201 11:28;16, PT 17//3069;
D;007;198884;31;20020201 11:28;P;;;;;;
D;007;198884;31;20020201 11:28;P;;;;;;
D;007;198884;31;20020201 11:28;V;;;;;;
B;007;198918;32;20020201 11:28;;;12;HUMPHRIES ST;MUSWELLBROOK;2333;689.2;M;20011119;20020107;78000;A;R;RESIDENCE;;AT;AC;;8301380;
C;007;198918;32;20020201 11:28;76//237998;
D;007;198918;32;20020201 11:28;P;;;;;;
D;007;198918;32;20020201 11:28;P;;;;;;
D;007;198918;32;20020201 11:28;V;;;;;;
D;007;198918;32;20020201 11:28;V;;;;;;
B;007;199273;33;20020201 11:28;;;2;KOOMBAHLA ST;MUSWELLBROOK;2333;594.6;M;20010726;20010912;94000;A;R;RESIDENCE;;AT;AC;;8000554;
C;007;199273;33;20020201 11:28;1//202393;
D;007;199273;33;20020201 11:28;P;;;;;;
D;007;199273;33;20020201 11:28;V;;;;;;
D;007;199273;33;20020201 11:28;V;;;;;;
D;007;199273;33;20020201 11:28;V;;;;;;
B;007;199300;34;20020201 11:28;;;32;LEXIA ST;MUSWELLBROOK;2333;815.3;M;20011126;20011220;118500;A;R;RESIDENCE;;AM;AC;;8239452;
C;007;199300;34;20020201 11:28;330//263862;
D;007;199300;34;20020201 11:28;P;;;;;;
D;007;199300;34;20020201 11:28;P;;;;;;
D;007;199300;34;20020201 11:28;V;;;;;;
B;007;199325;35;20020201 11:28;;;21;LORNE ST;MUSWELLBROOK;2333;607;M;20010905;20011016;80000;A;R;RESIDENCE;;AH;AC;;8036987;
C;007;199325;35;20020201 11:28;E//36426;
D;007;199325;35;20020201 11:28;P;;;;;;
D;007;199325;35;20020201 11:28;P;;;;;;
D;007;199325;35;20020201 11:28;V;;;;;;
D;007;199325;35;20020201 11:28;V;;;;;;
B;007;199436;36;20020201 11:28;;;32;MAHOGANY AVE;MUSWELLBROOK;2333;639.6;M;20010724;20010905;85000;A;R;RESIDENCE;;AL;AC;;8227121;
C;007;199436;36;20020201 11:28;5015//711278;
D;007;199436;36;20020201 11:28;P;;;;;;
D;007;199436;36;20020201 11:28;V;;;;;;
D;007;199436;36;20020201 11:28;V;;;;;;
B;007;199634;37;20020201 11:28;;;11;MATARO AVE;MUSWELLBROOK;2333;697.2;M;20011030;20011211;37000;A;V;VACANT LAND;;AW;AV;;8226366;
C;007;199634;37;20020201 11:28;632//856333;
D;007;199634;37;20020201 11:28;P;;;;;;
D;007;199634;37;20020201 11:28;V;;;;;;
B;007;199775;38;20020201 11:28;;;;;;;1124;M;20011126;20011212;247000;A;R;RESIDENCE;;AC;AC;;8296696;
C;007;199775;38;20020201 11:28;96//263206;
D;007;199775;38;20020201 11:28;P;;;;;;
D;007;199775;38;20020201 11:28;P;;;;;;
D;007;199775;38;20020201 11:28;V;;;;;;
D;007;199775;38;20020201 11:28;V;;;;;;
B;007;199778;39;20020201 11:28;;;10;OORANGA ST;MUSWELLBROOK;2333;937.4;H;20011122;20011214;225000;A;R;RESIDENCE;;AC;AC;;8293851;
C;007;199778;39;20020201 11:28;100//263206;
D;007;199778;39;20020201 11:28;P;;;;;;
D;007;199778;39;20020201 11:28;P;;;;;;
D;007;199778;39;20020201 11:28;V;;;;;;
B;007;199848;40;20020201 11:28;;;16;PARKINSON AVE;MUSWELLBROOK;2333;;;20011115;20011221;81500;A;R;RESIDENCE;;AT;AC;;8271069;
C;007;199848;40;20020201 11:28;7//35921;
D;007;199848;40;20020201 11:28;P;;;;;;
D;007;199848;40;20020201 11:28;V;;;;;;
