A;008;20030501 12:36;PBARBER;
B;008;202139;1;20030501 12:36;;;4;ALBION ST;MAYFIELD;2304;;;20011213;20020117;158000;A;R;RESIDENCE;;JE;;;9533231;
C;008;202139;1;20030501 12:36;5//338;
D;008;202139;1;20030501 12:36;P;;;;;;
D;008;202139;1;20030501 12:36;V;;;;;;
B;008;202243;2;20030501 12:36;;;71;ALDYTH ST;NEW LAMBTON;2305;626;M;20030217;20030324;250000;A;R;RESIDENCE;;FF;;;9530880;
C;008;202243;2;20030501 12:36;95//19869;
D;008;202243;2;20030501 12:36;P;;;;;;
D;008;202243;2;20030501 12:36;V;;;;;;
B;008;202654;3;20030501 12:36;;;61;ALLENDALE ST;BERESFIELD;2322;;;20030120;20030224;151500;A;R;RESIDENCE;;DA;;;9524670;
C;008;202654;3;20030501 12:36;176//31692;
D;008;202654;3;20030501 12:36;P;;;;;;
D;008;202654;3;20030501 12:36;V;;;;;;
B;008;202745;4;20030501 12:36;;;63;ALLOWAH ST;WARATAH WEST;2298;;;20030306;20030410;275000;A;R;RESIDENCE;;JP;;;9540256;
C;008;202745;4;20030501 12:36;3121//755247;
D;008;202745;4;20030501 12:36;P;;;;;;
D;008;202745;4;20030501 12:36;V;;;;;;
B;008;204083;5;20030501 12:36;;;53;ASHER ST;GEORGETOWN;2298;;;20030312;20030416;240000;A;R;RESIDENCE;;JS;;;9552435;
C;008;204083;5;20030501 12:36;7//12874;
D;008;204083;5;20030501 12:36;P;;;;;;
B;008;204348;6;20030501 12:36;;;50;AVON ST;MAYFIELD;2304;;;20030208;20030317;252500;A;R;RESIDENCE;;JD;;;9536169;
C;008;204348;6;20030501 12:36;23/B/16844;
D;008;204348;6;20030501 12:36;P;;;;;;
D;008;204348;6;20030501 12:36;P;;;;;;
D;008;204348;6;20030501 12:36;V;;;;;;
B;008;204739;7;20030501 12:36;;;5;BALOOK DR;BERESFIELD;2322;2187;M;20030211;20030311;460000;I;3;INDUST SHED;;GN;;;9517988;
C;008;204739;7;20030501 12:36;211//876364;
D;008;204739;7;20030501 12:36;P;;;;;;
D;008;204739;7;20030501 12:36;P;;;;;;
D;008;204739;7;20030501 12:36;V;;;;;;
B;008;205686;8;20030501 12:36;;;15;BELFORD RD;LAMBTON;2299;;;20021005;20021113;282000;A;R;RESIDENCE;;FB;;;9530223;
C;008;205686;8;20030501 12:36;B//374764;
D;008;205686;8;20030501 12:36;P;;;;;;
D;008;205686;8;20030501 12:36;P;;;;;;
D;008;205686;8;20030501 12:36;V;;;;;;
B;008;206613;9;20030501 12:36;;;;BINDERA RD;LAMBTON;2299;585.7;M;20021220;20021220;140000;I;3;COMMERCIAL;;GK;;;9529773;
C;008;206613;9;20030501 12:36;2//24037;
D;008;206613;9;20030501 12:36;P;;;;;;
D;008;206613;9;20030501 12:36;V;;;;;;
D;008;206613;9;20030501 12:36;V;;;;;;
B;008;207568;10;20030501 12:36;;;71;BOURKE ST;CARRINGTON;2294;341.1;M;20030202;20030403;80000;A;R;RESIDENCE;;DC;;;9541622;
C;008;207568;10;20030501 12:36;2//880482;
D;008;207568;10;20030501 12:36;P;;;;;;
D;008;207568;10;20030501 12:36;V;;;;;;
