A;005;20110801 01:53;VALNET;
B;005;2917679;1;20110801 01:53;;;9;SANDALWOOD AVE;THORNTON;2322;944.6;M;20110527;20110708;485000;A;R;RESIDENCE;;GF;;0;AG390018;
C;005;2917679;1;20110801 01:53;5535/1040265;
D;005;2917679;1;20110801 01:53;P;;;;;;
D;005;2917679;1;20110801 01:53;P;;;;;;
D;005;2917679;1;20110801 01:53;V;;;;;;
D;005;2917679;1;20110801 01:53;V;;;;;;
B;005;3356898;2;20110801 01:53;;1;9 A;WALTER ST;RUTHERFORD;2320;691.3;M;20110602;20110715;310000;A;R;RESIDENCE;;EC;;0;AG388443;
C;005;3356898;2;20110801 01:53;132/1120704;
D;005;3356898;2;20110801 01:53;P;;;;;;
D;005;3356898;2;20110801 01:53;V;;;;;;
D;005;3356898;2;20110801 01:53;V;;;;;;
B;005;3390150;3;20110801 01:53;;;91;GARDINER ST;RUTHERFORD;2320;37.148;H;20110523;20110705;544500;I;V;VACANT LAND;;CC;;0;AG367288;
C;005;3390150;3;20110801 01:53;1/1127199;
D;005;3390150;3;20110801 01:53;P;;;;;;
D;005;3390150;3;20110801 01:53;V;;;;;;
B;005;3437620;4;20110801 01:53;;;19;CAPITAL TCE;BOLWARRA HEIGHTS;2320;1109;M;20110607;20110712;176000;A;V;VACANT LAND;;GD;;0;AG385046;
C;005;3437620;4;20110801 01:53;250/1132800;
D;005;3437620;4;20110801 01:53;P;;;;;;
D;005;3437620;4;20110801 01:53;P;;;;;;
D;005;3437620;4;20110801 01:53;V;;;;;;
D;005;3437620;4;20110801 01:53;V;;;;;;
B;005;3460037;5;20110801 01:53;;;36;SADDLERS DR;GILLIESTON HEIGHTS;2321;525.3;M;20110620;20110718;422000;A;R;RESIDENCE;;GA;;0;AG383467;
C;005;3460037;5;20110801 01:53;1223/1138982;
D;005;3460037;5;20110801 01:53;P;;;;;;
D;005;3460037;5;20110801 01:53;V;;;;;;
D;005;3460037;5;20110801 01:53;V;;;;;;
B;005;3548602;6;20110801 01:53;;;55;MUSTANG DR;RUTHERFORD;2320;3937;M;20110602;20110630;434500;I;V;VACANT LAND;;CA;;0;AG371018;
C;005;3548602;6;20110801 01:53;307/1157389;
D;005;3548602;6;20110801 01:53;P;;;;;;
D;005;3548602;6;20110801 01:53;V;;;;;;
B;005;3554407;7;20110801 01:53;;;537;OAKHAMPTON RD;ABERGLASSLYN;2320;714.3;M;20110111;20110630;174000;A;V;VACANT LAND;;EL;;0;AG367772;
C;005;3554407;7;20110801 01:53;516/1149062;
D;005;3554407;7;20110801 01:53;P;;;;;;
D;005;3554407;7;20110801 01:53;V;;;;;;
B;005;3565657;8;20110801 01:53;;;16;LAURIE DR;RAWORTH;2321;734.8;M;20110524;20110705;193000;A;V;VACANT LAND;;GQ;;0;AG371439;
C;005;3565657;8;20110801 01:53;519/1161418;
D;005;3565657;8;20110801 01:53;P;;;;;;
D;005;3565657;8;20110801 01:53;P;;;;;;
D;005;3565657;8;20110801 01:53;V;;;;;;
B;005;3583262;9;20110801 01:53;;;83;MCKEACHIE DR;ABERGLASSLYN;2320;660.5;M;20110624;20110630;158000;A;V;VACANT LAND;;EL;;0;AG367696;
C;005;3583262;9;20110801 01:53;1608/1155177;
D;005;3583262;9;20110801 01:53;P;;;;;;
D;005;3583262;9;20110801 01:53;V;;;;;;
D;005;3583262;9;20110801 01:53;V;;;;;;
D;005;3583262;9;20110801 01:53;V;;;;;;
D;005;3583262;9;20110801 01:53;V;;;;;;
D;005;3583262;9;20110801 01:53;V;;;;;;
B;005;3583265;10;20110801 01:53;;;89;MCKEACHIE DR;ABERGLASSLYN;2320;559.5;M;20110628;20110630;159600;A;V;VACANT LAND;;EL;;0;AG367660;
C;005;3583265;10;20110801 01:53;1611/1155177;
D;005;3583265;10;20110801 01:53;P;;;;;;
D;005;3583265;10;20110801 01:53;V;;;;;;
D;005;3583265;10;20110801 01:53;V;;;;;;
D;005;3583265;10;20110801 01:53;V;;;;;;
D;005;3583265;10;20110801 01:53;V;;;;;;
D;005;3583265;10;20110801 01:53;V;;;;;;
B;005;3583267;11;20110801 01:53;;;92;MCKEACHIE DR;ABERGLASSLYN;2320;668.6;M;20110630;20110715;174000;A;V;VACANT LAND;;EL;;0;AG378444;
C;005;3583267;11;20110801 01:53;1613/1155177;
D;005;3583267;11;20110801 01:53;P;;;;;;
D;005;3583267;11;20110801 01:53;V;;;;;;
D;005;3583267;11;20110801 01:53;V;;;;;;
D;005;3583267;11;20110801 01:53;V;;;;;;
D;005;3583267;11;20110801 01:53;V;;;;;;
D;005;3583267;11;20110801 01:53;V;;;;;;
B;005;3583273;12;20110801 01:53;;;14;SHOVELER ST;ABERGLASSLYN;2320;595;M;20110628;20110630;163400;A;V;VACANT LAND;;EL;;0;AG368620;
C;005;3583273;12;20110801 01:53;1619/1155177;
D;005;3583273;12;20110801 01:53;P;;;;;;
D;005;3583273;12;20110801 01:53;V;;;;;;
D;005;3583273;12;20110801 01:53;V;;;;;;
D;005;3583273;12;20110801 01:53;V;;;;;;
D;005;3583273;12;20110801 01:53;V;;;;;;
D;005;3583273;12;20110801 01:53;V;;;;;;
B;005;3583277;13;20110801 01:53;;;4;SHOVELER ST;ABERGLASSLYN;2320;595.9;M;20110628;20110630;163400;A;V;VACANT LAND;;EL;;0;AG368574;
C;005;3583277;13;20110801 01:53;1623/1155177;
D;005;3583277;13;20110801 01:53;P;;;;;;
D;005;3583277;13;20110801 01:53;V;;;;;;
D;005;3583277;13;20110801 01:53;V;;;;;;
D;005;3583277;13;20110801 01:53;V;;;;;;
D;005;3583277;13;20110801 01:53;V;;;;;;
D;005;3583277;13;20110801 01:53;V;;;;;;
B;005;3583332;14;20110801 01:53;;;32;TEAL ST;ABERGLASSLYN;2320;707.8;M;20110630;20110630;180500;A;V;VACANT LAND;;EL;;0;AG379432;
C;005;3583332;14;20110801 01:53;1703/1158187;
D;005;3583332;14;20110801 01:53;P;;;;;;
D;005;3583332;14;20110801 01:53;V;;;;;;
B;005;3583333;15;20110801 01:53;;;30;TEAL ST;ABERGLASSLYN;2320;709.4;M;20110630;20110630;175750;A;V;VACANT LAND;;EL;;0;AG379053;
