A;RTSALEDATA;224;20200427 01:02;VALNET;
B;224;2529912;1;20200427 01:02;;;3;AUSTRALIS CL;CRANEBROOK;2749;550.7;M;20200311;20200422;850000;R2;R;RESIDENCE;;RAV;;0;AQ52542;
C;224;2529912;1;20200427 01:02;581/1008719;
D;224;2529912;1;20200427 01:02;P;;;;;;
D;224;2529912;1;20200427 01:02;P;;;;;;
D;224;2529912;1;20200427 01:02;V;;;;;;
D;224;2529912;1;20200427 01:02;V;;;;;;
B;224;2529414;2;20200427 01:02;;;15;ARNOLD AVE;ST MARYS;2760;758.8;M;20200224;20200417;515000;R2;R;RESIDENCE;;RAC;;0;AQ43962;
C;224;2529414;2;20200427 01:02;6/207085;
D;224;2529414;2;20200427 01:02;P;;;;;;
D;224;2529414;2;20200427 01:02;V;;;;;;
B;224;3431094;3;20200427 01:02;;;7 B;BEACH ST;EMU PLAINS;2750;325;M;20200306;20200417;761000;;R;RESIDENCE;2;;;0;AQ42969;
C;224;3431094;3;20200427 01:02;2/SP81711;
D;224;3431094;3;20200427 01:02;P;;;;;;
D;224;3431094;3;20200427 01:02;V;;;;;;
B;224;4199165;4;20200427 01:02;;;206;CARPENTER ST;ST MARYS;2760;;;20200307;20200417;507000;;R;RESIDENCE;1;;;0;AQ41002;
C;224;4199165;4;20200427 01:02;1/SP95547;
D;224;4199165;4;20200427 01:02;P;;;;;;
D;224;4199165;4;20200427 01:02;V;;;;;;
B;224;4226632;5;20200427 01:02;;11;110;CANBERRA ST;OXLEY PARK;2760;;;20200309;20200420;540000;;R;RESIDENCE;11;;;0;AQ47076;
C;224;4226632;5;20200427 01:02;11/SP99821;
D;224;4226632;5;20200427 01:02;P;;;;;;
D;224;4226632;5;20200427 01:02;V;;;;;;
B;224;4233581;6;20200427 01:02;;43;12;VISTA ST;PENRITH;2750;149;M;20200306;20200417;515000;;R;RESIDENCE;43;;;0;AQ42584;
C;224;4233581;6;20200427 01:02;43/SP100052;
D;224;4233581;6;20200427 01:02;P;;;;;;
D;224;4233581;6;20200427 01:02;V;;;;;;
B;224;4214701;7;20200427 01:02;;19;50;RODLEY AVE;PENRITH;2750;;;20200309;20200420;490000;;R;RESIDENCE;19;;;0;AQ45745;
C;224;4214701;7;20200427 01:02;19/SP95434;
D;224;4214701;7;20200427 01:02;P;;;;;;
D;224;4214701;7;20200427 01:02;V;;;;;;
B;224;4226280;8;20200427 01:02;;402;36;BARBER AVE;PENRITH;2750;;;20200317;20200420;485000;;R;RESIDENCE;30;;;0;AQ44373;
C;224;4226280;8;20200427 01:02;30/SP99804;
D;224;4226280;8;20200427 01:02;P;;;;;;
D;224;4226280;8;20200427 01:02;P;;;;;;
D;224;4226280;8;20200427 01:02;V;;;;;;
B;224;2528105;9;20200427 01:02;;;13;ALEXANDRA CCT;ST CLAIR;2759;625;M;20200309;20200420;717000;R2;R;RESIDENCE;;RAA;;0;AQ44539;
C;224;2528105;9;20200427 01:02;14/255903;
D;224;2528105;9;20200427 01:02;P;;;;;;
D;224;2528105;9;20200427 01:02;P;;;;;;
D;224;2528105;9;20200427 01:02;V;;;;;;
D;224;2528105;9;20200427 01:02;V;;;;;;
B;224;2541565;10;20200427 01:02;;;3;COTULA PL;GLENMORE PARK;2745;400.5;M;20200309;20200420;630000;R2;R;RESIDENCE;;RKL;;0;AQ46690;
C;224;2541565;10;20200427 01:02;773/843401;
D;224;2541565;10;20200427 01:02;P;;;;;;
D;224;2541565;10;20200427 01:02;P;;;;;;
D;224;2541565;10;20200427 01:02;V;;;;;;
D;224;2541565;10;20200427 01:02;V;;;;;;
B;224;2544103;11;20200427 01:02;;;9;DILGA CRES;ERSKINE PARK;2759;629;M;20200306;20200422;735000;R2;R;RESIDENCE;;RAA;;0;AQ52647;
C;224;2544103;11;20200427 01:02;105/703879;
D;224;2544103;11;20200427 01:02;P;;;;;;
D;224;2544103;11;20200427 01:02;P;;;;;;
D;224;2544103;11;20200427 01:02;V;;;;;;
B;224;2552255;12;20200427 01:02;;;42;GUILDFORD RD;CAMBRIDGE PARK;2747;733.5;M;20200308;20200420;740000;R2;R;RESIDENCE;;RGU;;0;AQ44805;
C;224;2552255;12;20200427 01:02;45/28228;
D;224;2552255;12;20200427 01:02;P;;;;;;
D;224;2552255;12;20200427 01:02;V;;;;;;
D;224;2552255;12;20200427 01:02;V;;;;;;
B;224;2552257;13;20200427 01:02;;;38;GUILDFORD RD;CAMBRIDGE PARK;2747;733.5;M;20200312;20200423;612700;R2;R;RESIDENCE;;RGU;;0;AQ56719;
C;224;2552257;13;20200427 01:02;43/28228;
D;224;2552257;13;20200427 01:02;P;;;;;;
D;224;2552257;13;20200427 01:02;V;;;;;;
D;224;2552257;13;20200427 01:02;V;;;;;;
D;224;2552257;13;20200427 01:02;V;;;;;;
B;224;2541699;14;20200427 01:02;;;6;CRAIG AVE;OXLEY PARK;2760;569.1;M;20200310;20200421;743500;R2;R;RESIDENCE;;RAC;;0;AQ47939;
C;224;2541699;14;20200427 01:02;11/30780;
D;224;2541699;14;20200427 01:02;P;;;;;;
D;224;2541699;14;20200427 01:02;V;;;;;;
